,RMSE mean,RMSE std,past,future,nneurons
0,0.2296594887971878,0.019002993591363575,10.0,10.0,10.0
1,0.07321976572275161,0.0034398093667299453,10.0,10.0,50.0
2,0.08651884496212006,0.02105494561731854,10.0,10.0,100.0
3,0.2575631350278854,0.01880166154304978,10.0,50.0,10.0
4,0.13943362534046172,0.008030716810571298,10.0,50.0,50.0
5,0.11837182939052582,0.028185294260953536,10.0,50.0,100.0
6,0.29347134232521055,0.030385573632649397,50.0,10.0,10.0
7,0.14629051089286804,0.01985828295051096,50.0,10.0,50.0
8,0.1387704387307167,0.018345824239816667,50.0,10.0,100.0
9,0.3616771399974823,0.023333859360621233,50.0,50.0,10.0
10,0.22152579128742217,0.023801983495668862,50.0,50.0,50.0
11,0.21009306311607362,0.024321799591799843,50.0,50.0,100.0
12,0.35558914542198183,0.036988908867702015,100.0,10.0,10.0
13,0.16847372949123382,0.03864532959767064,100.0,10.0,50.0
14,0.13633119761943818,0.009989369550004472,100.0,10.0,100.0
15,0.3833917737007141,0.019300170177703694,100.0,50.0,10.0
16,0.24232015013694763,0.030974127027101294,100.0,50.0,50.0
17,0.2333421915769577,0.0118657867959149,100.0,50.0,100.0
